Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
Eduardo Vargas;8;2;5.2;3.7;1.3;38.0;8.0;40.0;13.0;228.0;14.0;7.0;10.0;1;0;847.0;0.8500590318772137;0.21251475796930341;0.552538370720189;0.3931523022432113;0.13813459268004724;4.037780401416764;0.8500590318772137;4.250295159386068;1.3813459268004722;24.22668240850059;1.487603305785124;0.743801652892562;1.062573789846517;0.10625737898465171;0.0;10;1.062573789846517;2.8;6.5;0.6906729634002361;0.5
Eduardo Sasha;8;4;5.4;4.6000000000000005;2.6;54.0;8.0;57.0;25.0;404.0;33.0;11.0;12.0;7;1;2079.0;0.3463203463203463;0.17316017316017315;0.23376623376623376;0.19913419913419916;0.11255411255411257;2.337662337662338;0.3463203463203463;2.4675324675324672;1.0822510822510822;17.48917748917749;1.4285714285714284;0.47619047619047616;0.5194805194805194;0.30303030303030304;0.04329004329004329;12;0.5194805194805194;2.5999999999999996;8.0;0.3463203463203463;0.3333333333333333
Jefferson Savarino;8;7;4.8;4.6000000000000005;6.6;115.0;11.0;124.0;46.0;635.0;19.0;8.0;9.0;3;0;2009.0;0.35838725734196114;0.313588850174216;0.21503235440517668;0.20607267297162768;0.29566948730711795;5.151816824290692;0.49278247884519666;5.555002488800398;2.060726729716277;28.446988551518167;0.8511697361871577;0.35838725734196114;0.4031856645097063;0.13439522150323543;0.0;15;0.6719761075161772;3.2;11.399999999999999;0.5107018417122946;0.42105263157894735
Luiz Fernando;8;0;5.5;5.5;1.0;70.0;2.0;78.0;79.0;691.0;69.0;25.0;37.0;10;1;2591.0;0.27788498649170207;0.0;0.19104592821304517;0.19104592821304517;0.03473562331146276;2.4314936318023928;0.06947124662292552;2.709378618294095;2.7441142416055575;24.002315708220763;2.3967580084909303;0.8683905827865689;1.2852180625241219;0.34735623311462754;0.03473562331146276;8;0.27788498649170207;2.5;6.5;0.2257815515245079;0.36231884057971014
Everaldo Stum;8;3;7.6000000000000005;6.8;1.7000000000000002;44.0;6.0;37.0;40.0;424.0;35.0;11.0;11.0;6;0;2056.0;0.35019455252918286;0.13132295719844359;0.3326848249027238;0.29766536964980544;0.07441634241245138;1.9260700389105059;0.26264591439688717;1.6196498054474706;1.7509727626459144;18.56031128404669;1.532101167315175;0.48151750972762647;0.48151750972762647;0.26264591439688717;0.0;11;0.48151750972762647;0.39999999999999947;9.3;0.40710116731517515;0.3142857142857143
Juan Martín Lucero;8;3;6.7;4.4;2.0;36.0;3.0;27.0;13.0;285.0;10.0;3.0;9.0;8;0;2246.0;0.3205699020480855;0.12021371326803205;0.2684772929652716;0.17631344612644703;0.08014247551202137;1.4425645592163845;0.12021371326803205;1.0819234194122884;0.5209260908281389;11.420302760463045;0.40071237756010686;0.12021371326803205;0.3606411398040961;0.3205699020480855;0.0;11;0.44078361531611754;1.2999999999999998;8.7;0.3486197684772929;0.3
Matheus Pereira;8;7;5.1000000000000005;5.1000000000000005;5.6;158.0;19.0;224.0;89.0;1236.0;80.0;38.0;19.0;11;1;2823.0;0.255047821466525;0.22316684378320936;0.1625929861849097;0.1625929861849097;0.17853347502656747;5.037194473963868;0.6057385759829969;7.1413390010627;2.83740701381509;39.40488841657811;2.5504782146652496;1.2114771519659937;0.6057385759829969;0.3506907545164718;0.031880977683315624;15;0.4782146652497343;2.8999999999999995;10.7;0.34112646121147716;0.475
Wesley;8;2;6.1;6.1;5.7;184.0;13.0;183.0;167.0;1612.0;233.0;123.0;56.0;4;0;4251.0;0.16937191249117856;0.04234297812279464;0.12914608327452365;0.12914608327452365;0.12067748764996472;3.895553987297107;0.27522935779816515;3.8743824982357093;3.535638673253352;34.12844036697248;4.932956951305575;2.60409315455187;1.18560338743825;0.08468595624558928;0.0;10;0.2117148906139732;1.9000000000000004;11.8;0.24982357092448837;0.5278969957081545
Alan Patrick;8;3;7.2;3.1;8.200000000000001;127.0;13.0;128.0;35.0;661.0;58.0;34.0;17.0;3;0;1777.0;0.4051772650534609;0.15194147439504782;0.36465953854811484;0.1570061902082161;0.41530669667979747;6.432189082723692;0.6584130557118739;6.482836240855375;1.7726505346088912;33.4777715250422;2.9375351716375913;1.7220033764772087;0.8610016882386043;0.15194147439504782;0.0;11;0.5571187394485088;0.7999999999999998;15.400000000000002;0.7799662352279123;0.5862068965517241
Yannick Bolasie;8;4;7.3;7.3;1.5;62.0;8.0;55.0;63.0;474.0;62.0;24.0;19.0;4;0;2377.0;0.30290281867900715;0.15145140933950357;0.27639882204459404;0.27639882204459404;0.05679427850231384;2.3474968447623055;0.30290281867900715;2.0824568784181743;2.385359697097181;17.946992006731175;2.3474968447623055;0.9087084560370214;0.719394194362642;0.15145140933950357;0.0;12;0.4543542280185107;0.7000000000000002;8.8;0.3331931005469079;0.3870967741935484
