Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
Joaquín Piquerez;2;0;1.9;1.1;1.9;45.0;0.0;87.0;29.0;487.0;19.0;8.0;20.0;2;0;1314.0;0.136986301369863;0.0;0.13013698630136986;0.07534246575342465;0.13013698630136986;3.0821917808219177;0.0;5.9589041095890405;1.9863013698630136;33.35616438356165;1.3013698630136985;0.547945205479452;1.36986301369863;0.136986301369863;0.0;2;0.136986301369863;0.10000000000000009;3.8;0.2602739726027397;0.42105263157894735
Thiago Maia;2;4;2.3;2.3;2.4;55.0;8.0;104.0;22.0;589.0;22.0;14.0;21.0;4;0;1896.0;0.09493670886075949;0.18987341772151897;0.1091772151898734;0.1091772151898734;0.11392405063291139;2.6107594936708862;0.37974683544303794;4.936708860759494;1.0443037974683544;27.95886075949367;1.0443037974683544;0.6645569620253164;0.9968354430379747;0.18987341772151897;0.0;6;0.2848101265822785;-0.2999999999999998;4.699999999999999;0.22310126582278475;0.6363636363636364
Wanderson;2;2;2.1;2.1;2.3000000000000003;44.0;2.0;32.0;29.0;288.0;38.0;20.0;9.0;3;0;1015.0;0.1773399014778325;0.1773399014778325;0.18620689655172415;0.18620689655172415;0.20394088669950744;3.901477832512315;0.1773399014778325;2.83743842364532;2.571428571428571;25.536945812807883;3.369458128078818;1.7733990147783252;0.7980295566502463;0.2660098522167488;0.0;4;0.354679802955665;-0.10000000000000009;4.4;0.39014778325123156;0.5263157894736842
Joel Campbell;2;0;1.8;1.0;0.5;29.0;0.0;54.0;23.0;251.0;29.0;10.0;3.0;3;0;558.0;0.3225806451612903;0.0;0.2903225806451613;0.16129032258064516;0.08064516129032258;4.677419354838709;0.0;8.709677419354838;3.709677419354839;40.483870967741936;4.677419354838709;1.6129032258064515;0.4838709677419355;0.4838709677419355;0.0;2;0.3225806451612903;0.19999999999999996;2.3;0.3709677419354838;0.3448275862068966
Alisson;2;1;2.7;2.7;1.3;73.0;6.0;115.0;59.0;1059.0;85.0;41.0;17.0;4;0;2371.0;0.07591733445803459;0.03795866722901729;0.10248840151834669;0.10248840151834669;0.04934626739772248;2.7709827077182623;0.22775200337410376;4.365246731336988;2.23956136651202;40.198228595529315;3.22648671446647;1.556305356389709;0.645297342893294;0.15183466891606917;0.0;3;0.11387600168705188;-0.7000000000000002;4.0;0.15183466891606917;0.4823529411764706
Adson;2;1;1.5;1.5;2.6;53.0;5.0;72.0;42.0;478.0;50.0;25.0;15.0;2;0;1224.0;0.14705882352941177;0.07352941176470588;0.11029411764705882;0.11029411764705882;0.1911764705882353;3.8970588235294117;0.36764705882352944;5.294117647058823;3.088235294117647;35.14705882352941;3.6764705882352944;1.8382352941176472;1.1029411764705883;0.14705882352941177;0.0;3;0.22058823529411764;0.5;4.1;0.3014705882352941;0.5
Juninho Capixaba;2;0;1.7000000000000002;1.7000000000000002;0.6;31.0;1.0;90.0;34.0;674.0;32.0;13.0;28.0;4;0;1872.0;0.09615384615384616;0.0;0.08173076923076925;0.08173076923076925;0.028846153846153848;1.4903846153846154;0.04807692307692308;4.3269230769230775;1.6346153846153848;32.40384615384615;1.5384615384615385;0.625;1.3461538461538463;0.19230769230769232;0.0;2;0.09615384615384616;0.2999999999999998;2.3000000000000003;0.1105769230769231;0.40625
Caio Alexandre;2;0;0.8;0.8;2.3000000000000003;81.0;4.0;235.0;80.0;1743.0;30.0;17.0;27.0;6;0;2774.0;0.06488824801730353;0.0;0.025955299206921415;0.025955299206921415;0.07462148521989907;2.627974044700793;0.12977649603460706;7.6243691420331645;2.595529920692141;56.55010814708003;0.9733237202595529;0.5515501081470799;0.8759913482335977;0.1946647440519106;0.0;2;0.06488824801730353;1.2;3.1000000000000005;0.10057678442682048;0.5666666666666667
Carlos Alcaraz;2;1;3.1;1.2;0.5;37.0;1.0;39.0;26.0;324.0;32.0;14.0;13.0;1;1;751.0;0.2396804260985353;0.11984021304926765;0.3715046604527297;0.14380825565912117;0.05992010652463382;4.434087882822903;0.11984021304926765;4.673768308921439;3.1158455392809583;38.82822902796272;3.8348868175765647;1.677762982689747;1.5579227696404792;0.11984021304926765;0.11984021304926765;3;0.3595206391478029;-1.1;3.6;0.43142476697736354;0.4375
Reinaldo;2;2;1.6;0.9;2.9000000000000004;76.0;4.0;127.0;34.0;823.0;50.0;27.0;19.0;5;0;2436.0;0.07389162561576354;0.07389162561576354;0.05911330049261084;0.0332512315270936;0.10714285714285715;2.8078817733990147;0.14778325123152708;4.692118226600985;1.2561576354679804;30.4064039408867;1.8472906403940885;0.9975369458128079;0.7019704433497537;0.18472906403940886;0.0;4;0.14778325123152708;0.3999999999999999;4.5;0.16625615763546797;0.54
Robert Arboleda;2;0;1.2000000000000002;1.2000000000000002;0.5;19.0;3.0;45.0;2.0;1065.0;0.0;0.0;28.0;3;0;2256.0;0.0797872340425532;0.0;0.04787234042553193;0.04787234042553193;0.0199468085106383;0.7579787234042553;0.11968085106382978;1.7952127659574468;0.0797872340425532;42.486702127659576;0.0;0.0;1.1170212765957448;0.11968085106382978;0.0;2;0.0797872340425532;0.7999999999999998;1.7000000000000002;0.06781914893617022;
Guilherme Tinga;2;1;2.2;2.2;1.7000000000000002;60.0;4.0;105.0;31.0;701.0;21.0;11.0;24.0;3;1;2152.0;0.08364312267657992;0.04182156133828996;0.09200743494423792;0.09200743494423792;0.07109665427509294;2.5092936802973975;0.16728624535315983;4.391263940520446;1.2964684014869887;29.316914498141262;0.8782527881040892;0.4600371747211896;1.003717472118959;0.12546468401486988;0.04182156133828996;3;0.12546468401486988;-0.20000000000000018;3.9000000000000004;0.16310408921933087;0.5238095238095238
Ramon;2;1;0.7000000000000001;0.7000000000000001;1.2;56.0;1.0;87.0;48.0;723.0;46.0;20.0;28.0;9;0;2636.0;0.06828528072837634;0.03414264036418817;0.023899848254931716;0.023899848254931716;0.04097116843702579;1.9119878603945373;0.03414264036418817;2.97040971168437;1.6388467374810318;24.68512898330804;1.5705614567526556;0.6828528072837633;0.9559939301972686;0.30728376327769347;0.0;3;0.10242792109256449;1.2999999999999998;1.9;0.06487101669195751;0.43478260869565216
Ramiro Benetti;2;0;1.1;1.1;0.6000000000000001;23.0;2.0;56.0;9.0;439.0;3.0;1.0;19.0;3;0;1436.0;0.12534818941504178;0.0;0.068941504178273;0.068941504178273;0.037604456824512536;1.4415041782729805;0.12534818941504178;3.50974930362117;0.564066852367688;27.51392757660167;0.1880222841225627;0.06267409470752089;1.190807799442897;0.1880222841225627;0.0;2;0.12534818941504178;0.8999999999999999;1.7000000000000002;0.10654596100278552;0.3333333333333333
Higor Meritão;2;0;1.2;1.2;0.1;14.0;1.0;52.0;10.0;349.0;11.0;6.0;17.0;3;0;1040.0;0.17307692307692307;0.0;0.10384615384615384;0.10384615384615384;0.008653846153846154;1.2115384615384617;0.08653846153846154;4.5;0.8653846153846154;30.201923076923073;0.951923076923077;0.5192307692307693;1.4711538461538463;0.25961538461538464;0.0;2;0.17307692307692307;0.8;1.3;0.1125;0.5454545454545454
Luiz Gustavo;2;1;1.2000000000000002;1.2000000000000002;0.7000000000000001;32.0;2.0;124.0;30.0;1155.0;27.0;11.0;22.0;3;0;2188.0;0.08226691042047532;0.04113345521023766;0.0493601462522852;0.0493601462522852;0.028793418647166363;1.3162705667276051;0.08226691042047532;5.10054844606947;1.2340036563071297;47.5091407678245;1.110603290676417;0.4524680073126143;0.9049360146252285;0.12340036563071298;0.0;3;0.12340036563071298;0.7999999999999998;1.9000000000000004;0.07815356489945156;0.4074074074074074
Lucas Evangelista;2;3;2.5;2.5;1.6;73.0;6.0;132.0;26.0;691.0;34.0;15.0;29.0;4;0;2540.0;0.07086614173228346;0.1062992125984252;0.08858267716535433;0.08858267716535433;0.05669291338582678;2.5866141732283463;0.2125984251968504;4.677165354330708;0.9212598425196851;24.48425196850394;1.204724409448819;0.5314960629921259;1.0275590551181102;0.14173228346456693;0.0;5;0.17716535433070865;-0.5;4.1;0.14527559055118108;0.4411764705882353
Douglas Mendes;2;0;1.5999999999999999;1.5999999999999999;0.0;10.0;1.0;29.0;9.0;357.0;8.0;7.0;16.0;2;0;1346.0;0.1337295690936107;0.0;0.10698365527488855;0.10698365527488855;0.0;0.6686478454680534;0.06686478454680535;1.9390787518573551;0.6017830609212481;23.87072808320951;0.5349182763744428;0.46805349182763745;1.0698365527488856;0.1337295690936107;0.0;2;0.1337295690936107;0.40000000000000013;1.5999999999999999;0.10698365527488855;0.875
Philippe Coutinho;2;1;2.1;2.1;0.9;35.0;2.0;58.0;28.0;347.0;23.0;12.0;7.0;0;0;667.0;0.2698650674662669;0.13493253373313344;0.2833583208395802;0.2833583208395802;0.12143928035982009;4.72263868065967;0.2698650674662669;7.826086956521739;3.7781109445277363;46.8215892053973;3.103448275862069;1.6191904047976011;0.9445277361319341;0.0;0.0;3;0.4047976011994003;-0.10000000000000009;3.0;0.4047976011994003;0.5217391304347826
Everton Ribeiro;2;5;1.2;1.2;4.3;122.0;13.0;326.0;85.0;1406.0;69.0;29.0;22.0;4;0;2681.0;0.06713912719134651;0.1678478179783663;0.04028347631480791;0.04028347631480791;0.144349123461395;4.095486758672137;0.43640432674375235;10.943677732189482;2.8534129056322266;47.19880641551659;2.3162998881014545;0.9735173442745244;0.7385303991048116;0.13427825438269303;0.0;7;0.2349869451697128;0.8;5.5;0.1846325997762029;0.42028985507246375
Everaldo;2;0;1.0;1.0;0.1;4.0;0.0;16.0;18.0;146.0;14.0;5.0;2.0;2;0;421.0;0.4275534441805226;0.0;0.2137767220902613;0.2137767220902613;0.021377672209026127;0.8551068883610452;0.0;3.420427553444181;3.8479809976247026;31.211401425178146;2.992874109263658;1.0688836104513064;0.4275534441805226;0.4275534441805226;0.0;2;0.4275534441805226;1.0;1.1;0.23515439429928744;0.35714285714285715
Eliel Chrystian;2;0;2.1;2.1;0.1;10.0;0.0;4.0;8.0;86.0;9.0;2.0;6.0;2;0;510.0;0.3529411764705882;0.0;0.37058823529411766;0.37058823529411766;0.017647058823529415;1.7647058823529411;0.0;0.7058823529411764;1.4117647058823528;15.176470588235295;1.588235294117647;0.3529411764705882;1.0588235294117647;0.3529411764705882;0.0;2;0.3529411764705882;-0.10000000000000009;2.2;0.3882352941176471;0.2222222222222222
Miguel Trauco;2;0;0.2;0.2;0.4;31.0;2.0;81.0;3.0;411.0;18.0;8.0;14.0;3;1;1446.0;0.12448132780082988;0.0;0.012448132780082987;0.012448132780082987;0.024896265560165973;1.929460580912863;0.12448132780082988;5.04149377593361;0.18672199170124482;25.580912863070537;1.120331950207469;0.4979253112033195;0.8713692946058091;0.18672199170124482;0.06224066390041494;2;0.12448132780082988;1.8;0.6000000000000001;0.03734439834024897;0.4444444444444444
Emerson Rodríguez;2;0;1.4;1.4;0.4;31.0;1.0;12.0;29.0;210.0;41.0;23.0;12.0;1;0;795.0;0.22641509433962262;0.0;0.15849056603773584;0.15849056603773584;0.045283018867924525;3.5094339622641506;0.11320754716981131;1.3584905660377358;3.283018867924528;23.77358490566038;4.6415094339622645;2.6037735849056602;1.3584905660377358;0.11320754716981131;0.0;2;0.22641509433962262;0.6000000000000001;1.7999999999999998;0.20377358490566036;0.5609756097560976
Luis Oyama;2;1;0.6000000000000001;0.6000000000000001;0.7;13.0;2.0;28.0;8.0;218.0;12.0;3.0;7.0;2;0;684.0;0.2631578947368421;0.13157894736842105;0.07894736842105264;0.07894736842105264;0.09210526315789472;1.7105263157894737;0.2631578947368421;3.6842105263157894;1.0526315789473684;28.68421052631579;1.5789473684210527;0.39473684210526316;0.9210526315789473;0.2631578947368421;0.0;3;0.39473684210526316;1.4;1.3;0.17105263157894737;0.25
Nicolás De La Cruz;2;3;1.6;1.6;2.6;72.0;7.0;104.0;18.0;523.0;15.0;8.0;16.0;3;0;1010.0;0.1782178217821782;0.26732673267326734;0.1425742574257426;0.1425742574257426;0.2316831683168317;6.415841584158415;0.6237623762376238;9.267326732673267;1.6039603960396038;46.603960396039604;1.3366336633663365;0.7128712871287128;1.4257425742574257;0.26732673267326734;0.0;5;0.44554455445544555;0.3999999999999999;4.2;0.37425742574257426;0.5333333333333333
Pedro Henrique;2;1;1.4000000000000001;1.4000000000000001;0.6000000000000001;35.0;2.0;89.0;18.0;835.0;13.0;6.0;30.0;5;0;2566.0;0.0701480904130943;0.03507404520654715;0.04910366328916602;0.04910366328916602;0.021044427123928296;1.2275915822291503;0.0701480904130943;3.121590023382697;0.6313328137178488;29.286827747466877;0.45596258768511305;0.21044427123928294;1.0522213561964147;0.17537022603273578;0.0;3;0.10522213561964147;0.5999999999999999;2.0;0.0701480904130943;0.46153846153846156
Gustavo Martins Santos;2;0;2.0;2.0;0.0;3.0;1.0;45.0;1.0;522.0;1.0;0.0;21.0;1;1;1377.0;0.13071895424836602;0.0;0.13071895424836602;0.13071895424836602;0.0;0.19607843137254904;0.06535947712418301;2.9411764705882355;0.06535947712418301;34.11764705882353;0.06535947712418301;0.0;1.3725490196078431;0.06535947712418301;0.06535947712418301;2;0.13071895424836602;0.0;2.0;0.13071895424836602;0.0
Gustavo Mosquito;2;3;2.7;1.9000000000000001;2.1;40.0;5.0;31.0;32.0;260.0;46.0;15.0;6.0;4;0;1200.0;0.15000000000000002;0.225;0.2025;0.14250000000000002;0.1575;3.0;0.375;2.325;2.4000000000000004;19.5;3.4499999999999997;1.125;0.45;0.30000000000000004;0.0;5;0.375;-0.7000000000000002;4.800000000000001;0.3600000000000001;0.32608695652173914
Osvaldo;2;0;2.3000000000000003;1.5;1.6;43.0;3.0;37.0;29.0;307.0;33.0;12.0;10.0;1;0;1072.0;0.16791044776119401;0.0;0.19309701492537315;0.1259328358208955;0.13432835820895522;3.6100746268656714;0.251865671641791;3.1063432835820897;2.434701492537313;25.774253731343283;2.7705223880597014;1.007462686567164;0.8395522388059701;0.08395522388059701;0.0;2;0.16791044776119401;-0.30000000000000027;3.9000000000000004;0.3274253731343284;0.36363636363636365
Marcelinho;2;3;1.7;1.7;0.3;40.0;8.0;28.0;18.0;231.0;30.0;12.0;3.0;2;0;1002.0;0.17964071856287422;0.2694610778443114;0.1526946107784431;0.1526946107784431;0.02694610778443114;3.592814371257485;0.7185628742514969;2.5149700598802394;1.6167664670658681;20.74850299401198;2.694610778443114;1.0778443113772456;0.2694610778443114;0.17964071856287422;0.0;5;0.4491017964071856;0.30000000000000004;2.0;0.17964071856287422;0.4
Fausto Vera;2;0;2.2;2.2;0.30000000000000004;37.0;1.0;97.0;25.0;636.0;23.0;15.0;20.0;1;0;1792.0;0.10044642857142856;0.0;0.11049107142857145;0.11049107142857145;0.015066964285714288;1.8582589285714286;0.05022321428571428;4.871651785714286;1.2555803571428572;31.94196428571429;1.1551339285714286;0.7533482142857143;1.0044642857142858;0.05022321428571428;0.0;2;0.10044642857142856;-0.20000000000000018;2.5;0.12555803571428573;0.6521739130434783
Matheus Henrique;2;0;1.2000000000000002;1.2000000000000002;0.2;45.0;2.0;57.0;23.0;439.0;25.0;12.0;17.0;4;0;1219.0;0.14766201804758;0.0;0.088597210828548;0.088597210828548;0.014766201804757998;3.3223954060705494;0.14766201804758;4.20836751435603;1.6981132075471697;32.41181296144381;1.84577522559475;0.8859721082854799;1.25512715340443;0.29532403609516;0.0;2;0.14766201804758;0.7999999999999998;1.4000000000000001;0.10336341263330599;0.48
Lázaro;2;0;2.8000000000000003;2.8000000000000003;0.5;33.0;1.0;41.0;28.0;246.0;29.0;11.0;8.0;0;0;773.0;0.2328589909443726;0.0;0.3260025873221217;0.3260025873221217;0.05821474773609315;3.8421733505821476;0.1164294954721863;4.773609314359637;3.260025873221216;28.641655886157828;3.3764553686934025;1.2807244501940491;0.9314359637774904;0.0;0.0;2;0.2328589909443726;-0.8000000000000003;3.3000000000000003;0.38421733505821476;0.3793103448275862
Eric Ramires;2;2;2.1;2.1;0.2;27.0;3.0;38.0;9.0;328.0;21.0;10.0;10.0;4;0;1106.0;0.162748643761302;0.162748643761302;0.1708860759493671;0.1708860759493671;0.0162748643761302;2.1971066907775767;0.244122965641953;3.092224231464738;0.732368896925859;26.690777576853527;1.7088607594936709;0.81374321880651;0.81374321880651;0.325497287522604;0.0;4;0.325497287522604;-0.10000000000000009;2.3000000000000003;0.1871609403254973;0.47619047619047616
Mateus Cocão;2;2;0.6000000000000001;0.6000000000000001;0.7;45.0;6.0;114.0;20.0;806.0;26.0;19.0;40.0;9;1;2156.0;0.08348794063079777;0.08348794063079777;0.025046382189239335;0.025046382189239335;0.02922077922077922;1.8784786641929498;0.2504638218923933;4.758812615955473;0.8348794063079777;33.64564007421151;1.085343228200371;0.7931354359925787;1.6697588126159555;0.37569573283859;0.041743970315398886;4;0.16697588126159554;1.4;1.3;0.054267161410018555;0.7307692307692307
Federico Zaracho;2;0;0.9;0.9;0.5;28.0;1.0;28.0;6.0;252.0;19.0;5.0;11.0;2;0;874.0;0.20594965675057209;0.0;0.09267734553775744;0.09267734553775744;0.05148741418764302;2.883295194508009;0.10297482837528604;2.883295194508009;0.6178489702517163;25.949656750572085;1.9565217391304348;0.5148741418764302;1.1327231121281465;0.20594965675057209;0.0;2;0.20594965675057209;1.1;1.4;0.14416475972540044;0.2631578947368421
Matheus Martins;2;0;1.5;1.5;1.0;21.0;2.0;22.0;26.0;156.0;20.0;4.0;7.0;0;0;456.0;0.39473684210526316;0.0;0.29605263157894735;0.29605263157894735;0.19736842105263158;4.144736842105263;0.39473684210526316;4.342105263157895;5.13157894736842;30.789473684210527;3.9473684210526314;0.7894736842105263;1.381578947368421;0.0;0.0;2;0.39473684210526316;0.5;2.5;0.4934210526315789;0.2
Felipe Anderson;2;2;3.0;3.0;4.0;57.0;7.0;57.0;46.0;447.0;42.0;24.0;25.0;0;0;1310.0;0.13740458015267176;0.13740458015267176;0.20610687022900764;0.20610687022900764;0.2748091603053435;3.9160305343511452;0.48091603053435117;3.9160305343511452;3.1603053435114505;30.70992366412214;2.885496183206107;1.6488549618320612;1.717557251908397;0.0;0.0;4;0.2748091603053435;-1.0;7.0;0.48091603053435117;0.5714285714285714
Marcelo Hermes;2;5;1.5;1.5;2.9;111.0;10.0;131.0;50.0;797.0;35.0;16.0;41.0;4;0;3205.0;0.056162246489859596;0.14040561622464898;0.0421216848673947;0.0421216848673947;0.0814352574102964;3.1170046801872076;0.28081123244929795;3.6786271450858035;1.40405616224649;22.380655226209047;0.982839313572543;0.44929797191887677;1.1513260530421217;0.11232449297971919;0.0;7;0.1965678627145086;0.5;4.4;0.12355694227769112;0.45714285714285713
Matheus Gonçalves;2;0;1.7000000000000002;1.7000000000000002;0.9;38.0;1.0;48.0;32.0;362.0;39.0;20.0;7.0;1;0;682.0;0.26392961876832843;0.0;0.2243401759530792;0.2243401759530792;0.1187683284457478;5.0146627565982405;0.13196480938416422;6.334310850439883;4.222873900293255;47.771260997067444;5.146627565982405;2.6392961876832848;0.9237536656891495;0.13196480938416422;0.0;2;0.26392961876832843;0.2999999999999998;2.6;0.34310850439882695;0.5128205128205128
Matheus Bidu;2;1;0.9;0.9;1.0;43.0;2.0;64.0;33.0;669.0;26.0;14.0;20.0;3;0;1500.0;0.12;0.06;0.054000000000000006;0.054000000000000006;0.06;2.58;0.12;3.84;1.98;40.14;1.5599999999999998;0.8400000000000001;1.2000000000000002;0.18;0.0;3;0.18;1.1;1.9;0.11399999999999999;0.5384615384615384
Fernandinho;2;3;1.6;0.8;2.5;77.0;8.0;166.0;39.0;651.0;23.0;11.0;11.0;7;0;1465.0;0.12286689419795221;0.18430034129692832;0.09829351535836178;0.04914675767918089;0.15358361774744028;4.73037542662116;0.49146757679180886;10.197952218430034;2.3959044368600684;39.99317406143345;1.4129692832764504;0.6757679180887372;0.6757679180887372;0.4300341296928327;0.0;5;0.30716723549488056;0.3999999999999999;4.1;0.251877133105802;0.4782608695652174
Alexander Aravena;2;2;2.0;2.0;1.1;19.0;3.0;12.0;18.0;162.0;24.0;11.0;2.0;0;0;703.0;0.25604551920341395;0.25604551920341395;0.25604551920341395;0.25604551920341395;0.14082503556187767;2.4324324324324325;0.38406827880512096;1.5362731152204838;2.3044096728307255;20.739687055476526;3.0725462304409676;1.4082503556187767;0.25604551920341395;0.0;0.0;4;0.5120910384068279;0.0;3.1;0.3968705547652916;0.4583333333333333
Gabriel Taliari;2;2;3.5000000000000004;2.7;1.6;30.0;4.0;12.0;9.0;166.0;24.0;7.0;5.0;1;0;914.0;0.19693654266958424;0.19693654266958424;0.34463894967177244;0.26586433260393877;0.1575492341356674;2.9540481400437635;0.3938730853391685;1.1816192560175054;0.8862144420131292;16.345733041575492;2.363238512035011;0.6892778993435449;0.4923413566739606;0.09846827133479212;0.0;4;0.3938730853391685;-1.5000000000000004;5.1000000000000005;0.5021881838074399;0.2916666666666667
Felipe Vizeu;2;0;0.8;0.8;0.2;9.0;1.0;9.0;6.0;86.0;13.0;5.0;1.0;1;1;445.0;0.40449438202247195;0.0;0.16179775280898878;0.16179775280898878;0.040449438202247195;1.8202247191011234;0.20224719101123598;1.8202247191011234;1.2134831460674158;17.39325842696629;2.6292134831460676;1.0112359550561798;0.20224719101123598;0.20224719101123598;0.20224719101123598;2;0.40449438202247195;1.2;1.0;0.20224719101123598;0.38461538461538464
Álvaro Barreal;2;4;2.3000000000000003;2.3000000000000003;1.5;56.0;5.0;69.0;29.0;620.0;38.0;17.0;39.0;6;0;1488.0;0.12096774193548387;0.24193548387096775;0.13911290322580647;0.13911290322580647;0.0907258064516129;3.3870967741935485;0.3024193548387097;4.173387096774194;1.7540322580645162;37.5;2.2983870967741935;1.028225806451613;2.3588709677419355;0.3629032258064516;0.0;6;0.3629032258064516;-0.30000000000000027;3.8000000000000003;0.22983870967741937;0.4473684210526316
Brahian Palacios;2;3;2.3000000000000003;1.5;1.1;29.0;7.0;23.0;40.0;266.0;53.0;17.0;12.0;3;0;801.0;0.2247191011235955;0.33707865168539325;0.25842696629213485;0.16853932584269662;0.12359550561797754;3.258426966292135;0.7865168539325843;2.5842696629213484;4.4943820224719095;29.8876404494382;5.955056179775281;1.9101123595505618;1.348314606741573;0.33707865168539325;0.0;5;0.5617977528089887;-0.30000000000000027;3.4000000000000004;0.38202247191011235;0.32075471698113206
Kaio Jorge;2;2;5.4;4.6000000000000005;1.3;31.0;2.0;18.0;20.0;199.0;14.0;5.0;8.0;3;0;1163.0;0.15477214101461736;0.15477214101461736;0.41788478073946694;0.35597592433361996;0.1006018916595013;2.3989681857265692;0.15477214101461736;1.3929492691315561;1.5477214101461736;15.399828030954428;1.0834049871023215;0.3869303525365434;0.6190885640584695;0.23215821152192606;0.0;4;0.30954428202923473;-3.4000000000000004;6.7;0.5184866723989682;0.35714285714285715
Alejo Cruz;2;2;2.5;1.7000000000000002;3.4;111.0;5.0;115.0;69.0;713.0;60.0;26.0;24.0;4;0;2156.0;0.08348794063079777;0.08348794063079777;0.10435992578849722;0.07096474953617811;0.14192949907235622;4.633580705009277;0.20871985157699444;4.800556586270872;2.8803339517625233;29.763450834879407;2.504638218923933;1.085343228200371;1.0018552875695732;0.16697588126159554;0.0;4;0.16697588126159554;-0.5;5.9;0.24628942486085345;0.43333333333333335
Yago Pikachu;2;4;3.7;3.7;2.0;39.0;9.0;60.0;25.0;403.0;31.0;12.0;18.0;5;0;1633.0;0.11022657685241886;0.22045315370483773;0.20391916717697492;0.20391916717697492;0.11022657685241886;2.1494182486221676;0.49601959583588484;3.306797305572566;1.3778322106552356;22.210655235762403;1.7085119412124923;0.6613594611145132;0.9920391916717697;0.27556644213104714;0.0;6;0.3306797305572566;-1.7000000000000002;5.7;0.31414574402939377;0.3870967741935484
Yan Souto;1;0;0.0;0.0;0.1;2.0;0.0;6.0;0.0;73.0;1.0;1.0;4.0;0;0;237.0;0.37974683544303794;0.0;0.0;0.0;0.0379746835443038;0.7594936708860759;0.0;2.278481012658228;0.0;27.721518987341774;0.37974683544303794;0.37974683544303794;1.5189873417721518;0.0;0.0;1;0.37974683544303794;1.0;0.1;0.0379746835443038;1.0
Vitor Hugo Amorim;1;1;1.8;1.8;0.3;12.0;2.0;14.0;7.0;154.0;8.0;4.0;5.0;2;0;484.0;0.1859504132231405;0.1859504132231405;0.3347107438016529;0.3347107438016529;0.05578512396694214;2.231404958677686;0.371900826446281;2.603305785123967;1.3016528925619835;28.636363636363637;1.487603305785124;0.743801652892562;0.9297520661157025;0.371900826446281;0.0;2;0.371900826446281;-0.8;2.1;0.390495867768595;0.5
Vitor Reis;1;0;0.5;0.5;0.0;12.0;0.0;46.0;3.0;525.0;1.0;1.0;13.0;3;0;1458.0;0.06172839506172839;0.0;0.030864197530864196;0.030864197530864196;0.0;0.7407407407407408;0.0;2.839506172839506;0.1851851851851852;32.40740740740741;0.06172839506172839;0.06172839506172839;0.8024691358024691;0.1851851851851852;0.0;1;0.06172839506172839;0.5;0.5;0.030864197530864196;1.0
Vágner Love;1;0;1.5;1.5;0.0;5.0;0.0;2.0;1.0;35.0;1.0;0.0;3.0;0;0;176.0;0.5113636363636364;0.0;0.7670454545454545;0.7670454545454545;0.0;2.5568181818181817;0.0;1.0227272727272727;0.5113636363636364;17.897727272727273;0.5113636363636364;0.0;1.534090909090909;0.0;0.0;1;0.5113636363636364;-0.5;1.5;0.7670454545454545;0.0
Aníbal Moreno;1;1;0.9;0.9;1.1;72.0;2.0;167.0;25.0;833.0;22.0;12.0;26.0;7;0;2517.0;0.03575685339690107;0.03575685339690107;0.03218116805721097;0.03218116805721097;0.039332538736591184;2.574493444576877;0.07151370679380215;5.971394517282478;0.8939213349225268;29.78545887961859;0.7866507747318237;0.42908224076281287;0.929678188319428;0.25029797377830754;0.0;2;0.07151370679380215;0.09999999999999998;2.0;0.07151370679380215;0.5454545454545454
Alan Ruschel;1;1;0.7;0.7;1.6;56.0;5.0;120.0;43.0;743.0;24.0;10.0;30.0;7;2;2243.0;0.04012483281319661;0.04012483281319661;0.02808738296923763;0.02808738296923763;0.06419973250111458;2.2469906375390103;0.20062416406598307;4.814979937583594;1.7253678109674544;29.812750780205082;0.9629959875167187;0.40124832813196615;1.2037449843958985;0.2808738296923763;0.08024966562639323;2;0.08024966562639323;0.30000000000000004;2.3;0.0922871154703522;0.4166666666666667
Júnior Alonso;1;0;0.2;0.2;0.0;15.0;1.0;45.0;16.0;465.0;5.0;3.0;5.0;2;0;956.0;0.09414225941422594;0.0;0.01882845188284519;0.01882845188284519;0.0;1.4121338912133892;0.09414225941422594;4.2364016736401675;1.506276150627615;43.77615062761506;0.4707112970711297;0.2824267782426778;0.4707112970711297;0.18828451882845187;0.0;1;0.09414225941422594;0.8;0.2;0.01882845188284519;0.6
Kaiki;1;0;0.4;0.4;1.0;26.0;3.0;32.0;31.0;382.0;58.0;32.0;15.0;4;0;1184.0;0.07601351351351351;0.0;0.030405405405405407;0.030405405405405407;0.07601351351351351;1.9763513513513515;0.22804054054054054;2.4324324324324325;2.356418918918919;29.03716216216216;4.408783783783783;2.4324324324324325;1.1402027027027029;0.30405405405405406;0.0;1;0.07601351351351351;0.6;1.4;0.1064189189189189;0.5517241379310345
